Year,Country_Name,net_carbon_stock_change,surface_pct,country_global_emissions,CO2_aviation_sum,precipitation_m3,variation_temp_deg,terres_agricoles_perc,Aviation_perc,Global_Emissions_30perc,Global_Emissions_55perc
1995,Ireland,-3.5780949600000014,7.925678617999999,37.37546,1.19921,85872.89063,0.953,63.7102627376978,3.2085491389269865,26.162821999999995,16.818956999999997
1996,Ireland,-3.5780949600000014,8.170590797000001,39.02695,1.1077299999999999,82966.9375,0.009666666666666657,63.0134997822616,2.8383719455401977,27.318865,17.5621275
1997,Ireland,-3.5780949600000014,8.415502976,40.56239,1.3317100000000002,86567.78906,1.1486666666666665,64.3199303237045,3.2831152207747136,28.393673,18.2530755
1998,Ireland,-3.5780949600000014,8.660415155,42.52669,1.3752000000000002,98107.35938,0.9229166666666666,64.1021919001306,3.233733920979978,29.768683,19.137010500000002
1999,Ireland,-3.5780949600000014,8.905327332999999,44.544979999999995,1.62529,93474.6875,0.9478333333333334,64.1312236899405,3.6486490733635977,31.181485999999996,20.045240999999997
2000,Ireland,-3.5780949600000014,9.150239512,47.54132,1.88401,94225.74219,0.5851666666666667,64.04412832051099,3.9628895453470783,33.278923999999996,21.393594
2001,Ireland,-3.24332418666667,9.280911598,50.30996,2.26209,70248.14844,0.4896666666666667,64.0150965307011,4.4963064967652535,35.216972,22.639481999999997
2002,Ireland,-3.24332418666667,9.411583684,48.86797,2.40013,102101.2813,0.9141666666666668,63.478008419218995,4.911458364241445,34.207578999999996,21.9905865
2003,Ireland,-3.24332418666667,9.54225577,48.50012,2.34726,72374.96875,1.0083333333333335,63.4344607345043,4.83969936569229,33.950084,21.825054
2004,Ireland,-3.24332418666667,9.672927856,48.797309999999996,2.2246200000000003,82791.46094,0.9603333333333332,62.490927565684395,4.558898840940208,34.158117,21.958789499999998
2005,Ireland,-3.24332418666667,9.803599942,50.97313,2.5666,80278.60156,1.1078333333333334,62.447379880969706,5.035201879892407,35.681191,22.9379085
2006,Ireland,-3.24332418666667,9.934272027999999,50.87498,2.95791,91144.29688,1.1983333333333337,61.837712294963,5.814075995705551,35.612486,22.893741000000002
2007,Ireland,-3.24332418666667,10.06494411,51.05993,3.12352,82798.5,1.3538333333333332,62.069966613441714,6.117360521254143,35.741951,22.9769685
2008,Ireland,-3.24332418666667,10.1956162,50.41263,2.90493,98949.70313,0.6913333333333335,67.1940775148788,5.762305993557567,35.288841,22.6856835
2009,Ireland,-3.24332418666667,10.32628829,44.71403,2.29515,105505.6016,0.6925833333333333,66.6848599216142,5.132952677269304,31.299820999999998,20.1213135
2010,Ireland,-3.24332418666667,10.45696037,44.53066,2.3555900000000003,74010.0,-0.2881666666666666,66.3086079256786,5.28981605033476,31.171461999999995,20.038797
2011,Ireland,-3.34411821333334,10.55651038,40.50006,2.0932699999999995,89439.0,1.0090833333333329,66.1199012919147,5.1685602441082805,28.350041999999995,18.225027
2012,Ireland,-3.34411821333334,10.65606039,40.37721,1.7529400000000002,92120.0,0.6900000000000001,65.8005516040064,4.341409423781386,28.264046999999998,18.1697445
2013,Ireland,-3.34411821333334,10.75561039,39.74824,2.02066,83886.0,0.69775,64.98766148933079,5.083646470887767,27.823768,17.886708000000002
2014,Ireland,-3.34411821333334,10.8551604,39.54795,2.2383599999999997,97855.0,1.27975,64.8279866453767,5.659863532749485,27.683564999999998,17.7965775
2015,Ireland,-3.34411821333334,10.95471041,41.69637,2.5326700000000004,105541.0,0.6328333333333335,64.3054144287995,6.074077911338565,29.187459,18.7633665
2016,Ireland,-3.8891932933333297,11.06619248,43.2287,2.5982300000000005,89028.56881461537,0.9354166666666668,64.7554071708521,6.010428257153236,30.26009,19.452915
2017,Ireland,-3.8891932933333297,11.17752939,42.650690000000004,3.0548599999999997,89028.56881461537,1.1936666666666669,65.1618522281899,7.162510149308252,29.855483,19.192810500000004
2018,Ireland,-3.8891932933333297,11.23559297,42.97437,3.29645,89028.56881461537,0.9680833333333332,65.5537813906227,7.670734905479707,30.082058999999997,19.3384665
2019,Ireland,-3.8891932933333297,9.41824798127586,41.03243,3.3373,89028.56881461537,1.0919166666666666,64.93055896206347,8.133322837570184,28.722700999999997,18.4645935
2020,Ireland,-3.8891932933333297,9.41824798127586,42.903237,2.0880946666666667,89028.56881461537,1.02925,64.93055896206347,4.866986299114603,30.032265899999995,19.306456649999998
1990,Italy,-35.3161233333333,25.80582095,448.2883,5.7779000000000025,296000.0,0.92,57.257488694706105,1.2888803923724983,313.80181,201.729735
1991,Italy,-35.3161233333333,26.07085784,447.85542999999996,6.5906100000000025,249601.2005333333,0.005499999999999987,54.585019210499496,1.4715931880071214,313.49880099999996,201.5349435
1992,Italy,-35.3161233333333,26.33589473,447.88025,6.6092499999999985,249601.2005333333,0.7450833333333334,54.3266124919248,1.4756734640565194,313.516175,201.5461125
1993,Italy,-35.3161233333333,26.60093162,440.57235999999995,6.7586900000000005,249601.2005333333,0.6009166666666668,54.095406480568506,1.5340703624712182,308.4006519999999,198.25756199999998
1994,Italy,-35.3161233333333,26.86596852,434.89182,6.9641699999999975,249601.2005333333,1.5217500000000002,53.388188092890395,1.601356861575368,304.42427399999997,195.701319
1995,Italy,-35.3161233333333,27.13100541,459.71197,7.387659999999999,249601.2005333333,0.4254166666666667,52.133555472442296,1.607019282095265,321.798379,206.8703865
1996,Italy,-35.3161233333333,27.3960423,453.03349000000003,8.00098,249601.2005333333,0.19225,52.1879568868791,1.7660901846351362,317.123443,203.86507050000003
1997,Italy,-35.3161233333333,27.66107919,459.15421,8.27495,249601.2005333333,0.9835833333333334,52.1743565332699,1.8022158612027104,321.407947,206.6193945
1998,Italy,-35.3161233333333,27.92611608,471.9804,8.99564,249601.2005333333,0.8055833333333334,52.6469688211894,1.9059350769650607,330.38627999999994,212.39118
1999,Italy,-35.3161233333333,28.19115297,477.15329,9.9965,249601.2005333333,1.0300833333333337,53.7179966679134,2.0950290419248705,334.007303,214.71898050000001
2000,Italy,-35.3161233333333,28.45618986,482.59372,10.67201,244648.5938,1.4117499999999998,53.167182346741,2.2113860080897862,337.815604,217.16717400000002
2001,Italy,-35.5100911,28.68018428,483.1474,10.44163,190838.7031,1.2121666666666666,52.708170412430704,2.1611686205907352,338.20318,217.41633000000002
2002,Italy,-35.5100911,28.90417871,490.22359000000006,9.74422,283729.4063,1.2109999999999999,51.929550168304395,1.9877093225970623,343.156513,220.60061550000003
2003,Italy,-35.5100911,29.12520228,510.0441,10.948960000000001,218186.2031,1.4744166666666667,50.679948323927405,2.1466692782055508,357.03087,229.519845
2004,Italy,-35.5100911,29.34917386,516.2498,10.8587,274198.6875,0.8432499999999999,50.5983545250561,2.1033809601475872,361.37486,232.31241000000003
2005,Italy,-35.5100911,29.57314544,517.56039,11.32258,250316.0,0.38475,50.0985925069695,2.187682871171807,362.29227299999997,232.9021755
2006,Italy,-35.5100911,29.79711702,513.43497,12.13198,201418.0938,1.1000833333333333,48.28653022370301,2.3629048874485505,359.404479,231.0457365
2007,Italy,-35.5100911,30.0210886,508.03163,12.86675,194680.0,1.3942500000000002,48.147140817297895,2.5326671097230697,355.622141,228.6142335
2008,Italy,-35.5100911,30.24506018,496.63485,12.39685,262289.8125,1.2054999999999998,49.15074454341471,2.4961699727677193,347.644395,223.4856825
2009,Italy,-35.5100911,30.46903175,440.19378,11.17304,272025.8125,1.2725833333333332,47.5365472224111,2.5382094222230944,308.135646,198.087201
2010,Italy,-35.5100911,30.69300333,451.86798,11.767610000000001,306883.0938,0.65075,48.7108179778337,2.604214177778209,316.30758599999996,203.340591
2011,Italy,-35.4612808,30.87593663,440.61529,12.03267,249601.2005333333,1.3946666666666667,47.0952607601822,2.730878903453396,308.430703,198.2768805
2012,Italy,-35.4612808,31.05886993,418.58808,11.49088,249601.2005333333,1.4148333333333334,46.6750526959951,2.745152226981715,293.01165599999996,188.364636
2013,Italy,-35.4612808,31.24180322,383.59136,11.16735,249601.2005333333,1.11475,46.338478275651,2.9112621306173323,268.513952,172.61611200000002
2014,Italy,-35.4612808,31.42473652,363.00971,11.320049999999998,249601.2005333333,1.67725,44.747399197661,3.1183876596579188,254.10679699999997,163.3543695
2015,Italy,-35.4612808,31.60766982,376.39878999999996,11.73349,249601.2005333333,1.7915833333333335,44.0096552661998,3.1173027947300254,263.47915299999994,169.37945549999998
2016,Italy,-13.61393,31.79060991,375.0434,12.45667,249601.2005333333,1.644,43.5574896307881,3.3213942706364112,262.53038,168.76953
2017,Italy,-13.61393,31.97355001,371.12351,13.38694,249601.2005333333,1.5155,43.607023866186196,3.6071387662829553,259.786457,167.0055795
2018,Italy,-13.61393,31.76875021,368.10522000000003,14.285520000000002,249601.2005333333,1.985166666666667,41.66526718839221,3.8808251618925698,257.673654,165.64734900000002
2019,Italy,-13.61393,29.20828176448276,358.63293,14.781310000000001,249601.2005333333,1.81825,49.8352674241872,4.121570765963962,251.04305099999996,161.3848185
2020,Italy,-13.61393,29.20828176448276,446.853734,10.411185333333332,249601.2005333333,1.8208333333333333,49.8352674241872,2.3298866141584784,312.79761379999997,201.08418029999999
1990,Latvia,-14.977229666666698,51.01614252,21.43854,0.22121999999999997,54578.0,1.4625086206896554,30.01935940589525,1.0318799694382172,15.006977999999998,9.647343
1991,Latvia,-14.977229666666698,51.01614252,18.71003,0.29908,43468.0,1.4625086206896554,30.01935940589525,1.5985009110086943,13.097021,8.4195135
1992,Latvia,-14.977229666666698,51.2348061,14.888720000000001,0.08417000000000001,41401.0,1.5892499999999998,40.677857096919396,0.5653273081903616,10.422104000000001,6.699924
1993,Latvia,-14.977229666666698,51.34413789,12.71912,0.08421999999999999,45664.0,0.3273333333333334,40.420605826741294,0.6621527275471887,8.903383999999999,5.723604
1994,Latvia,-14.977229666666698,51.45346968,11.375689999999999,0.0781,43662.0,0.6411666666666666,40.8386391407808,0.6865517608162669,7.962982999999999,5.1190605
1995,Latvia,-14.977229666666698,51.56280147,9.72532,0.07833000000000001,46117.0,1.1975,29.4552704353978,0.8054233691025079,6.807723999999999,4.376394
1996,Latvia,-14.977229666666698,51.67213326,9.65372,0.10036,36565.0,-0.3471666666666668,30.130555019615397,1.0395992425717755,6.757604,4.344174
1997,Latvia,-14.977229666666698,51.78146505,9.0352,0.1006,48027.0,0.9091666666666668,28.4905781722297,1.1134230564901717,6.32464,4.06584
1998,Latvia,-14.977229666666698,51.89079684,8.47113,0.09149,49988.0,0.6735833333333335,28.1207794713486,1.0800212014217705,5.929791,3.8120085
1999,Latvia,-14.977229666666698,52.00012863,7.86638,0.09172000000000001,41184.0,1.751666666666667,25.9984564923789,1.1659746922981091,5.506466,3.539871
2000,Latvia,-14.977229666666698,52.10946042,7.212510000000001,0.08259999999999999,42629.0,2.142333333333333,25.532188565181,1.145232380960303,5.048757,3.2456295000000006
2001,Latvia,-16.1898033733333,52.32027783,8.22374,0.08283,50702.0,1.1983333333333337,25.419641134478105,1.007205967114719,5.756618,3.7006829999999997
2002,Latvia,-16.1898033733333,52.53109525,8.28565,0.08616,37841.0,1.6032500000000005,25.644735995883998,1.039870136923476,5.799955,3.7285425
2003,Latvia,-16.1898033733333,52.74191266,8.46669,0.1237,41723.0,0.9373333333333332,25.435719338864196,1.4610195956152876,5.926683,3.8100105
2004,Latvia,-16.1898033733333,52.95273008,8.54444,0.15091000000000002,44755.0,1.0323333333333329,26.4004116020323,1.7661777717439646,5.981108,3.844998
2005,Latvia,-16.1898033733333,53.1635475,8.84333,0.1819,42216.0,1.0845833333333337,27.879606405556608,2.056917473395203,6.190331,3.9794985
2006,Latvia,-16.1898033733333,53.37436491,9.15785,0.20415999999999998,34558.0,1.5875833333333336,29.82506913627889,2.22934422380799,6.410494999999999,4.1210325
2007,Latvia,-16.1898033733333,53.58518233,9.47096,0.24662,48579.0,1.9437500000000003,29.567817866100697,2.603959894245145,6.629671999999999,4.261932
2008,Latvia,-16.1898033733333,53.79599974,9.17153,0.29698,47873.0,2.312583333333333,29.3427230046948,3.2380638781097595,6.420071,4.127188500000001
2009,Latvia,-16.1898033733333,54.02071406,8.66245,0.31087,47927.0,1.2291666666666667,29.4789321325185,3.58870758272775,6.063714999999999,3.8981025
2010,Latvia,-16.1898033733333,54.17930591,9.73363,0.35678000000000004,54298.0,0.3643333333333334,29.0006426735219,3.665436224717809,6.813541,4.3801335
2011,Latvia,-5.62883317333333,54.2762701,8.86628,0.35808,42132.0,1.8616666666666664,29.196141479099694,4.038672363155687,6.206396,3.989826
