Year,Country_Name,EU28_CO2_emissions
2003,Austria,78.96713
2003,Poland,321.34039
2003,Portugal,68.42694
2003,Romania,106.13723
2003,Slovenia,16.32615
2003,Slovakia,42.45698
2003,Finland,75.92311
2003,Sweden,64.36799
2003,United Kingdom,606.20775
2004,Belgium,157.03207
2004,Bulgaria,50.40496
2004,Czechia,130.15286
2004,Denmark,60.5331
2004,Germany,914.30548
2004,Estonia,17.91479
2004,Ireland,48.79731
2004,Greece,123.02094
2004,Spain,388.73625
2004,France,446.85996
2004,Croatia,23.17597
2004,Italy,516.2498
2004,Cyprus,8.89827
2004,Latvia,8.54444
2004,Lithuania,13.75174
2004,Luxembourg,13.1049
2004,Hungary,60.84508
2004,Malta,6.23124
2004,Netherlands,238.90703
2004,Austria,79.46889
2004,Poland,326.04058
2004,Portugal,71.68427
2004,Romania,105.29348
2004,Slovenia,16.7372
2004,Slovakia,42.95346
2004,Finland,71.99043
2004,Sweden,64.78936
2004,United Kingdom,611.58148
2005,Belgium,154.42927
2005,Bulgaria,51.56528
2005,Czechia,127.74636
2005,Denmark,57.11162
2005,Germany,896.56468
2005,Estonia,17.65556
2005,Ireland,50.97313
2005,Greece,125.74606
2005,Spain,406.74323
2005,France,448.94643
2005,Croatia,23.6831
2005,Italy,517.56039
2005,Cyprus,9.71691
2005,Latvia,8.84333
2005,Lithuania,14.7131
2005,Luxembourg,13.38354
2005,Hungary,61.10149
2005,Malta,4.98968
2005,Netherlands,238.61186
2005,Austria,81.10234
2005,Poland,325.33207
2005,Portugal,73.75696
2005,Romania,102.81101
2005,Slovenia,17.03377
2005,Slovakia,42.99962
2005,Finland,60.03906
2005,Sweden,62.44793
2005,United Kingdom,611.14469
2006,Belgium,155.17034
2006,Bulgaria,52.76263
2006,Czechia,128.64112
2006,Denmark,65.78506
2006,Germany,909.69816
2006,Estonia,17.28746
2006,Ireland,50.87498
2006,Greece,125.19997
2006,Spain,399.3577
2006,France,440.40054
2006,Croatia,23.87981
2006,Italy,513.43497
2006,Cyprus,9.9664
2006,Latvia,9.15785
2006,Lithuania,15.03006
2006,Luxembourg,13.1331
2006,Hungary,60.47472
2006,Malta,5.29509
2006,Netherlands,237.28488
2006,Austria,78.91061
2006,Poland,339.4652
2006,Portugal,69.24457
2006,Romania,106.01693
2006,Slovenia,17.31431
2006,Slovakia,42.82466
2006,Finland,71.69988
2006,Sweden,62.76849
2006,United Kingdom,610.11627
2007,Belgium,155.24318
2007,Bulgaria,56.44754
2007,Czechia,130.45628
2007,Denmark,61.18491
2007,Germany,885.518
2007,Estonia,20.94055
2007,Ireland,51.05993
2007,Greece,127.69613
2007,Spain,408.63526
2007,France,431.14648
2007,Croatia,25.21939
2007,Italy,508.03163
2007,Cyprus,10.20769
2007,Latvia,9.47096
2007,Lithuania,16.40288
2007,Luxembourg,12.62115
2007,Hungary,59.41836
2007,Malta,5.67274
2007,Netherlands,238.44119
2007,Austria,76.34275
2007,Poland,338.78892
2007,Portugal,66.98942
2007,Romania,104.65207
2007,Slovenia,17.56518
2007,Slovakia,41.23864
2007,Finland,69.96858
2007,Sweden,62.15511
2007,United Kingdom,601.63346
2008,Belgium,155.77982
2008,Bulgaria,55.0942
2008,Czechia,125.17874
2008,Denmark,57.24078
2008,Germany,888.78133
2008,Estonia,18.83227
2008,Ireland,50.41263
2008,Greece,123.98756
2008,Spain,377.93365
2008,France,422.86417
2008,Croatia,23.98363
2008,Italy,496.63485
2008,Cyprus,10.37985
2008,Latvia,9.17153
2008,Lithuania,15.71786
2008,Luxembourg,12.4965
2008,Hungary,58.099
2008,Malta,5.90423
2008,Netherlands,239.38699
2008,Austria,75.71886
2008,Poland,332.89635
2008,Portugal,64.92176
2008,Romania,102.38769
2008,Slovenia,18.56489
2008,Slovakia,41.66409
2008,Finland,61.76504
2008,Sweden,60.13018
2008,United Kingdom,589.75181
2009,Belgium,134.56786
2009,Bulgaria,46.91636
2009,Czechia,117.23814
2009,Denmark,53.12913
2009,Germany,822.62754
2009,Estonia,15.27026
2009,Ireland,44.71403
2009,Greece,115.50258
2009,Spain,337.39627
2009,France,402.43606
2009,Croatia,22.10071
2009,Italy,440.19378
2009,Cyprus,9.97936
